LINE 205 : 2021-04-07 18:49:06,649 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Liberation Sans Narrow' (LiberationSansNarrow-Italic.ttf) italic normal 400 condensed>) = 11.25
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Trebuchet MS' (trebucbi.ttf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'FreeSans' (FreeSansBoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral-BoldItalic.otf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Liberation Mono' (LiberationMono-BoldItalic.ttf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Ubuntu' (Ubuntu-M.ttf) normal normal medium normal>) = 10.145
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Courier New' (couri.ttf) italic normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'FreeMono' (FreeMono.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'STIXVariants' (STIXVariants-Regular.otf) normal normal regular normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Khmer OS' (KhmerOS.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Tlwg Typo' (TlwgTypo-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Symbola' (Symbola_hint.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizeFourSym-Regular.otf) normal normal regular normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Arial' (ariali.ttf) italic normal 400 normal>) = 7.413636363636363
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Umpush' (Umpush.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Garuda' (Garuda-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Verdana' (Verdana_Bold_Italic.ttf) italic normal bold normal>) = 4.971363636363637
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Waree' (Waree-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSansCondensed.ttf) normal normal 400 condensed>) = 0.25
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'KacstBook' (KacstBook.ttf) normal normal book normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Liberation Mono' (LiberationMono-Regular.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,228 [DEBUG   ] findfont: score(<Font 'Purisa' (Purisa-Bold.ttf) normal normal bold normal>) = 10.335
